UserID,clicks_in_last_90_articles,ActivityCentrality,ReceivedNegative,ReceivedPositive,VoteNegative,VotePositive,PostReplied,UserFollowed,GotPostReplied,GotFollowers,PostsAmount,TopicsPostedIn,TopicsDiversity
101380,-0.25915773735360126,0.06573091407052373,0.0794044665012407,0.28561020036429874,0.027633851468048358,-0.1515329037297403,0.9668508287292817,0.0,0.5091863517060368,1.1666666666666667,0.4956810631229236,0.5866666666666667,-0.8162458392270914
101444,0.7226513830052343,-0.30195138651146874,0.013234077750206782,-0.08014571948998178,-0.10362694300518134,-0.14684631907830503,-0.13812154696132597,0.0,-0.09448818897637795,0.0,-0.08637873754152824,-0.10666666666666667,-0.1993342467142894
101446,0.9294791926239738,0.5320095857583019,0.22497932175351532,0.6324225865209472,-0.12435233160621761,0.25151337629369264,-0.04419889502762431,0.0,0.5249343832020997,0.0,0.32558139534883723,0.9333333333333333,-0.49327709414480325
101485,-0.4983802641415409,0.5662444368366996,0.20181968569065342,0.6557377049180327,0.8497409326424871,0.4389767623511033,0.08287292817679558,0.0,0.29396325459317585,0.0,0.27375415282392024,0.37333333333333335,-0.843061769104713
101491,-0.4958883628208332,-0.4162957891133174,-0.13234077750206782,-0.17777777777777778,-0.14507772020725387,-0.16715485256785784,-0.143646408839779,0.0,-0.1732283464566929,0.0,-0.12491694352159469,-0.56,
101520,1.4144031896336895,0.17939061965080458,0.1654259718775848,0.22950819672131148,0.17962003454231434,0.08982620581917594,0.1878453038674033,0.0,0.2992125984251969,0.0,0.17674418604651163,0.6133333333333333,-0.8979743003911032
101681,0.6179915275355107,0.1376241013351591,0.3705541770057899,0.4648451730418944,0.3316062176165803,-0.10857254442491701,0.4861878453038674,1.3333333333333333,0.27296587926509186,0.16666666666666666,0.30033222591362124,0.24,-0.8658661397174838
101761,-0.2840767505606783,-0.3375556316330024,-0.12572373862696443,-0.15956284153005465,-0.08635578583765112,-0.08826401093536419,-0.12154696132596685,0.0,-0.1679790026246719,0.0,-0.11029900332225914,-0.37333333333333335,-0.033983375891712964
101796,0.26164963867430896,0.6093803491954808,0.28453267162944584,0.2943533697632058,1.848013816925734,0.9146651044717828,1.0331491712707181,0.3333333333333333,0.3884514435695538,0.6666666666666666,0.5275747508305648,0.64,-0.7850694531021853
101799,0.5631696984799412,-0.10886682642930508,-0.07278742762613731,-0.07577413479052823,0.17962003454231434,0.08670181605155243,0.0055248618784530384,0.0,0.026246719160104987,0.0,0.0106312292358804,0.02666666666666667,-0.648887951945491
101844,-0.26912534263643206,-0.03491954809996582,0.6815550041356493,0.2010928961748634,0.16580310880829016,-0.14606522163639915,0.2596685082872928,0.3333333333333333,0.27296587926509186,0.0,0.26312292358803985,0.13333333333333333,-0.9220152363078824
101845,-0.10715175679043129,1.5734337555631632,1.8676592224979323,1.8222222222222222,0.3626943005181347,0.49131029095879714,1.856353591160221,0.0,1.8267716535433072,0.5,1.8750830564784053,1.3333333333333333,-0.937910810657843
101913,0.8646897582855735,1.5734337555631632,0.42018196856906537,0.829872495446266,1.848013816925734,1.820347588361648,1.6464088397790055,0.0,0.6299212598425197,0.3333333333333333,1.0538205980066446,1.1733333333333333,-0.8817884993092974
