UserID,clicks_in_last_90_articles,ActivityCentrality,ReceivedNegative,ReceivedPositive,VoteNegative,VotePositive,PostReplied,UserFollowed,GotPostReplied,GotFollowers,PostsAmount,TopicsPostedIn,MostPopularTopicPostsAmount,TopicsDiversity
500288,362.0,151.0756972111554,659.0,2228.0,52.0,251.0,324.0,0.0,385.0,0.0,1146.0,62.0,420.0,1.044991986106605
500291,346.0,28.286852589641434,4.0,56.0,70.0,331.0,15.0,1.0,16.0,1.0,34.0,11.0,15.0,1.2288276761431722
500294,69.0,119.20318725099602,408.0,917.0,148.0,793.0,188.0,0.0,208.0,1.0,566.0,28.0,193.0,1.1104187891372437
500299,141.0,208.52589641434264,225.0,1463.0,589.0,3166.0,82.0,0.0,170.0,0.0,320.0,25.0,189.0,1.0700708569446475
500300,93.0,24.382470119521912,58.0,236.0,39.0,17.0,93.0,1.0,82.0,0.0,222.0,15.0,88.0,1.1831517095854214
500307,295.0,266.93227091633463,605.0,2658.0,793.0,3007.0,255.0,2.0,237.0,0.0,937.0,55.0,290.0,1.0605059244808177
500314,259.0,72.50996015936255,58.0,688.0,87.0,283.0,61.0,0.0,55.0,0.0,206.0,47.0,21.0,1.232091673366441
500315,537.0,250.6772908366534,667.0,2569.0,86.0,3181.0,160.0,0.0,238.0,0.0,795.0,46.0,278.0,1.0641407406071497
500317,141.0,114.7410358565737,285.0,1215.0,99.0,568.0,222.0,0.0,203.0,2.0,588.0,50.0,56.0,1.2336780599567432
500318,393.0,106.37450199203187,3.0,87.0,207.0,2533.0,1.0,2.0,6.0,1.0,15.0,10.0,3.0,1.6487212707001282
500331,74.0,12.988047808764941,48.0,134.0,11.0,19.0,36.0,0.0,37.0,0.0,93.0,19.0,23.0,1.237155317448532
500335,147.0,4.063745019920319,1.0,25.0,4.0,23.0,6.0,0.0,1.0,0.0,11.0,5.0,4.0,1.7332530178673953
500336,396.0,24.780876494023904,81.0,305.0,0.0,3.0,9.0,0.0,39.0,1.0,90.0,29.0,22.0,1.1515004495945118
500339,130.0,7.729083665338646,3.0,70.0,4.0,21.0,2.0,0.0,4.0,0.0,19.0,15.0,3.0,1.5253474531238633
500343,582.0,6.05577689243028,0.0,0.0,11.0,81.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
500346,33.0,37.92828685258964,35.0,8.0,149.0,690.0,5.0,0.0,6.0,0.0,16.0,7.0,4.0,1.770794952435155
500351,77.0,29.243027888446218,71.0,130.0,32.0,221.0,49.0,4.0,50.0,0.0,142.0,28.0,35.0,1.1559216130648926
500356,269.0,98.40637450199203,70.0,1045.0,83.0,458.0,31.0,0.0,45.0,0.0,201.0,41.0,57.0,1.0898147222244503
500358,493.0,39.52191235059761,0.0,0.0,36.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
500359,179.0,36.89243027888446,0.0,6.0,106.0,618.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.718281828459045
500360,522.0,158.72509960159366,28.0,122.0,426.0,4777.0,7.0,0.0,15.0,1.0,26.0,11.0,10.0,1.2666348209129108
500366,124.0,185.9760956175299,327.0,5300.0,0.0,5.0,39.0,0.0,395.0,0.0,775.0,37.0,459.0,1.0466911148992812
500370,342.0,174.8207171314741,212.0,1225.0,295.0,1532.0,220.0,7.0,176.0,1.0,544.0,64.0,61.0,1.1495197682065204
500372,40.0,3.9840637450199203,0.0,0.0,3.0,53.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.718281828459045
500378,224.0,15.856573705179281,49.0,3.0,63.0,230.0,0.0,0.0,7.0,0.0,5.0,3.0,2.0,2.300975890892825
500388,252.0,59.68127490039841,30.0,175.0,219.0,739.0,15.0,0.0,23.0,0.0,79.0,24.0,15.0,1.245384657997241
